name,type,domain,lifecycle,triggers,keywords
stakeholder-orchestrator,orchestrator,pm,strategy,帮我管理Stakeholder|写一份战略沟通文档,战略文档|战略沟通|利益相关者|干系人管理|对齐沟通
ui-orchestrator,orchestrator,ui,ui,做UI|写前端,UI设计|前端开发|UI|前端|界面开发
user-research-orchestrator,orchestrator,pm,discovery,帮我做一下用户研究|分析一下用户反馈,用户研究|VOC分析|行为分析|Persona|访谈辅助
validation-orchestrator,orchestrator,pm,design,验证一下产品方案|设计MVP范围,方案验证|假设验证|MVP|可用性测试|实验设计
acquisition-analysis,pipeline,pm,growth,哪个渠道拉新效果最好|帮我看看各个渠道的ROI,获客渠道|渠道评估|ROI分析|渠道分级|获客优化
activation-aha,pipeline,pm,growth,用户什么时候觉得产品好用|怎么找到aha moment,Aha Moment|激活时刻|用户激活|到达率|什么时候觉得好用
activation-onboarding,pipeline,pm,growth,新用户引导流程太长了|怎么让用户更快上手,Onboarding|新用户引导|引导优化|个性化引导|用户激活
agile-daily-sync,pipeline,pm,project,每天站会太费时间了|站会怎么高效开,每日站会|Daily Sync|进展同步|障碍追踪|敏捷日报
agile-review,pipeline,pm,project,sprint结束了要评审|迭代回顾怎么做,迭代评审|迭代回顾|敏捷复盘|评审会|复盘报告
agile-sprint-planning,pipeline,pm,project,下个sprint怎么规划|这期迭代做哪些需求,Sprint规划|Sprint计划|迭代规划|Story选取|容量匹配
analysis-anomaly,pipeline,pm,metrics-ops,今天DAU突然掉了30%，帮我查查什么原因|指标异常告警了，帮我归因分析,异常检测|数据分析|自动归因|指标监控|异常报告
analysis-funnel,pipeline,pm,metrics-ops,注册流程转化率太低了，帮我分析一下|用户在哪个步骤流失最多,漏斗分析|转化分析|流失节点|转化率|用户路径
analysis-retention,pipeline,pm,metrics-ops,新用户7日留存只有15%，帮我分析一下|用户什么时候开始流失的,留存分析|Cohort分析|Aha Moment|流失预警|用户粘性
api-design-impl,pipeline,backend,backend,生成API代码|写接口代码,生成API代码|写接口代码|生成路由|生成Service|API代码生成
api-design-spec,pipeline,backend,backend,设计API接口|写接口文档,API设计|接口契约|OpenAPI|RESTful|GraphQL
api-integration,pipeline,ui,ui,对接后端API|生成请求层代码,API对接|接口联调|请求层|API客户端|前后端联调
backend-architecture-impl,pipeline,backend,backend,生成项目脚手架|生成app.ts,生成项目脚手架|生成app.ts|生成Docker配置|生成CI配置|项目架构代码生成
backend-architecture-spec,pipeline,backend,backend,选什么架构模式|要不要上微服务,架构模式|微服务|单体架构|Serverless|服务设计
business-model-canvas,pipeline,pm,strategy,帮我把商业模式理清楚|我们的商业模式怎么赚钱,商业模式画布|BMC|价值主张|收入模式|成本结构
business-pricing,pipeline,pm,strategy,产品该怎么定价|定价方案怎么做,定价策略|竞品分析|支付意愿|套餐设计|单位经济
business-strategy-report,pipeline,pm,strategy,帮我写一份商业战略规划|出一份战略报告,商业战略报告|战略规划|商业规划|战略文档|商业分析报告
business-value-fit,pipeline,pm,strategy,我们的价值主张对不对|用户真的需要这个功能吗,价值主张匹配|痛点覆盖|收益验证|匹配度评分|用户需要吗
change-impact-analysis,pipeline,pm,design,需求改了，看看影响范围|分析一下这个变更会影响哪些模块,变更影响|需求变更|影响分析|变更评审|PRD变更
competitor-monitoring-report,pipeline,pm,monitoring,竞品最近有什么新动作|帮我出一份竞品监控报告,竞品监控报告|竞品动态|功能追踪|威胁评估|竞品应对
data-analysis-report,pipeline,pm,metrics-ops,帮我出一份本月的数据分析报告|把最近的数据情况汇总一下,数据分析报告|数据洞察报告|运营报告|数据报告|分析报告
data-architecture-impl,pipeline,backend,backend,生成Model代码|生成Migration脚本,生成Model代码|生成缓存代码|数据层代码生成
data-architecture-spec,pipeline,backend,backend,设计数据库表|建表和索引,数据模型|ER图|表结构|索引|缓存策略
decision-culture,pipeline,pm,metrics-ops,团队不习惯看数据，怎么推动|帮我建立数据驱动的文化,数据文化|数据驱动|决策文化|数据素养|报告体系
decision-dace,pipeline,pm,metrics-ops,帮我用DACE方法做一个数据决策|从数据到行动的完整闭环怎么做,DACE循环|数据决策|决策闭环|数据驱动|决策框架
design-handoff-spec,pipeline,pm,design,设计稿做好了怎么交给开发|帮我生成设计交付文档,设计交接|设计交付|Handoff|开发对接|交付文档
design-ia,pipeline,pm,design,网站导航怎么组织|帮我梳理信息架构,信息架构|IA设计|导航设计|卡片分类|内容组织
design-prd,pipeline,pm,design,帮我写PRD文档|生成产品需求文档,PRD生成|产品需求文档|需求文档自动生成|PRD管理|写需求文档
design-prototype,pipeline,pm,design,帮我生成原型|快速出个设计稿,原型设计|低保真原型|中保真原型|设计规范|原型生成
design-userflow,pipeline,pm,design,用户操作流程怎么画|帮我梳理用户路径,用户流程|User Flow|Task Flow|流程设计|路径优化
diagnosis-competition,pipeline,pm,monitoring,竞品又更新了怎么办|对手加了新功能怎么应对,竞品追踪|竞品分析|竞品监控|功能变更|竞争分析
diagnosis-health,pipeline,pm,monitoring,产品现在健不健康|帮我做个体检,健康度评分|产品诊断|多维度评分|健康检查|产品健康
experiment-design,pipeline,pm,metrics-ops,我想验证新首页是否提升转化，帮我设计AB测试|这个功能改动需要多少样本量,A/B测试设计|实验设计|样本量计算|分流方案|假设检验
experiment-execution,pipeline,pm,metrics-ops,AB测试跑完了，帮我分析结果|实验数据看起来有差异，显著吗,A/B测试执行|统计检验|实验分析|新奇效应|实验监控
growth-model,pipeline,pm,growth,,增长模式|PLG|SLG|增长飞轮|增长诊断
growth-strategy-report,pipeline,pm,growth,帮我出一份增长策略报告|增长遇到瓶颈怎么办,增长策略报告|增长报告|AARRR报告|增长飞轮|增长路线图
gtm-strategy,pipeline,pm,growth,新产品要上线了怎么推|帮我做上市计划,GTM策略|上市策略|产品上市|市场进入|发布策略
ideation-workshop,pipeline,pm,design,帮我发散创意|用SCAMPER方法创新,创意发散|创意收敛|HMW|SCAMPER|反转思维
insight-analysis,pipeline,pm,discovery,帮我分析一下用户需求|需求太多了，帮我排个优先级,需求洞察|JTBD|5Whys|KANO|优先级评分
interaction-spec,pipeline,pm,design,交互规范怎么写|帮我写交互设计文档,交互设计规范|交互规范|状态机|动画规范|手势操作
iteration-decision,pipeline,pm,monitoring,需求池太乱了怎么整理|backlog优先级怎么排,Backlog优化|需求池管理|需求关联|Backlog梳理|需求重组
market-competitor-analysis,pipeline,pm,discovery,帮我做竞品分析|竞品调研怎么做,竞品分析|竞品调研|竞品情报|四象限|竞争对手
market-pest,pipeline,pm,discovery,市场环境有什么变化|政策对我们有什么影响,PEST分析|政策法规|经济指标|社会趋势|技术动态
market-tam-som,pipeline,pm,discovery,这个市场有多大|帮我算一下市场规模,市场规模|TAM|SAM|SOM|市场容量
metrics-dashboard,pipeline,pm,metrics-design,帮我搭一个数据看板|配置一个监控面板,数据看板|指标可视化|告警配置|监控面板|看板搭建
metrics-system,pipeline,pm,metrics-design,帮我梳理一下产品的核心指标|我们要定北极星指标,指标体系|AARRR模型|北极星指标|L1/L2指标|OSM模型
monitoring-pipeline,pipeline,pm,monitoring,监控系统怎么搭|需要监控哪些指标,监控系统|监控配置|健康检查|告警规则|监控体系
opportunity-definition,pipeline,pm,discovery,帮我评估一下这个产品机会|识别一下有哪些产品机会,机会识别|机会评估|HMW|机会简报|产品机会
page-builder,pipeline,ui,ui,帮我写个页面|生成前端组件,页面生成|组件生成|页面组装|UI构建|写页面
planning-kickoff,pipeline,pm,project,项目要启动了怎么开会|kickoff会议怎么准备,Kickoff|项目启动|启动会议|行动项|项目启动会
planning-north-star,pipeline,pm,strategy,我们的核心指标该选什么|怎么衡量产品成功,北极星指标|核心指标|指标选择|产品成功指标|NSM
planning-okr,pipeline,pm,strategy,帮我制定季度OKR|目标怎么拆解,OKR|目标管理|关键结果|目标分解|OKR对齐
planning-project-charter,pipeline,pm,project,项目宪章怎么写|帮我出一份项目章程,项目宪章|项目章程|项目目标|项目范围|成功标准
planning-resource,pipeline,pm,project,项目需要多少人|资源不够怎么办,资源规划|资源分配|人力规划|资源需求|容量规划
planning-roadmap,pipeline,pm,strategy,帮我规划产品路线图|下个版本做什么,产品路线图|版本规划|RICE评分|季度规划|Epic规划
positioning-strategy,pipeline,pm,strategy,帮我确定产品定位|写一个定位陈述,产品定位|定位策略|差异化|价值曲线|定位陈述
product-operations-manual,pipeline,pm,growth,运营手册怎么写|日常运营流程怎么规范,运营手册|运营SOP|内容运营|用户运营|活动运营
product-proposal,pipeline,pm,strategy,帮我写产品立项文档|产品提案怎么写,产品立项|产品提案|立项文档|商业计划书|产品规划文档
product-sunset-plan,pipeline,pm,monitoring,这个功能要下线怎么做|产品要停服了怎么安排,产品下线|功能下线|产品退役|Sunset|下线方案
production-ready,pipeline,ui,ui,准备上线|优化前端性能,构建部署|性能优化|前端测试|生产就绪|上线准备
project-init,pipeline,ui,ui,初始化前端项目|建立设计系统,项目初始化|设计系统|视觉方向|主题定制|项目脚手架
quality-acceptance,pipeline,pm,monitoring,自动跑一下验收测试|帮我执行验收检查,验收执行计划|验收测试|质量门禁|上线检查|验收报告
release-auto-checklist,pipeline,pm,monitoring,上线前帮我列个检查清单|生成发版Checklist,上线检查|发布流程|发布追踪|上线准备|发布清单
release-gradual,pipeline,pm,monitoring,做灰度发布，先放1%流量|帮我做小流量验证,灰度发布|渐进式发布|自动回滚|发布策略|金丝雀发布
release-notes,pipeline,pm,monitoring,帮我写版本更新说明|生成发版说明,版本发布说明|更新日志|版本更新|更新说明|发版说明
retention-management,pipeline,pm,growth,用户一直在流失怎么办|怎么提前发现要走的用户,流失预警|流失干预|流失模型|用户挽留|用户分层
revenue-funnel,pipeline,pm,growth,为什么用户不愿付费|付费转化率怎么提升,付费漏斗|付费转化|付费墙|转化优化|付费分析
revenue-nrr,pipeline,pm,growth,净收入留存率怎么算|老客户续费情况怎么样,NRR|净收入留存|收入留存|流失预警|扩张收入
revenue-upsell,pipeline,pm,growth,怎么让用户升级套餐|哪些用户适合推增购,升级转化|增购|Upsell|升级策略|交叉销售
risk-identification,pipeline,pm,project,项目有什么风险|帮我识别一下风险,风险识别|风险评估|风险登记册|风险扫描|风险优先级
risk-management,pipeline,pm,project,风险怎么持续监控|风险状态怎么样了,风险监控|风险预警|风险追踪|风险状态|风险指标
stakeholder-analysis,pipeline,pm,strategy,帮我梳理一下利益相关方|谁会影响这个项目,利益相关者|利益相关者地图|沟通策略
strategic-analysis,pipeline,pm,strategy,帮我分析一下优劣势|我们的机会和威胁是什么,战略分析|SWOT|Ansoff矩阵|波特五力|战略规划
tracking-plan,pipeline,pm,metrics-design,这个功能需要加埋点|帮我出一份打点方案,埋点方案|事件设计|属性设计|埋点规范|数据采集
user-feedback-loop-report,pipeline,pm,monitoring,用户反馈处理得怎么样了|帮我出一份反馈闭环报告,用户反馈闭环|反馈报告|反馈追踪|闭环率|VOC闭环
user-research-behavior-analysis,pipeline,pm,discovery,用户在哪里流失了|漏斗转化率怎么这么低,行为分析|漏斗分析|Aha Moment|功能使用分析|异常检测
user-research-interview-assist,pipeline,pm,discovery,帮我准备访谈提纲|访谈后怎么整理洞察,用户访谈|访谈脚本|访谈洞察|半结构化访谈|定性研究辅助
user-research-report,pipeline,pm,discovery,帮我出一份用户研究报告|用户调研结果怎么整理,用户研究报告|用户调研报告|用户洞察报告|研究报告|用户分析报告
user-research-user-modeling,pipeline,pm,discovery,帮我画用户画像|用户旅程怎么梳理,用户建模|Persona生成|同理心地图|用户旅程地图|用户画像
user-research-voice-analysis,pipeline,pm,discovery,用户都在吐槽什么|帮我分析用户反馈,用户声音分析|VOC|情感分析|痛点提取|用户反馈分析
validation-assumption-map,pipeline,pm,design,产品有哪些假设没验证|帮我梳理假设和风险,假设提取|风险评估|假设地图|验证方法|假设梳理
validation-experiment,pipeline,pm,design,怎么验证这个假设|帮我设计A/B测试,实验设计|A/B测试|样本量|验证方法|验证方案
validation-mvp,pipeline,pm,design,MVP应该包含哪些功能|最小产品怎么做,MVP范围|最小可行产品|功能优先级|资源约束|最小产品
validation-usability,pipeline,pm,design,怎么做可用性测试|帮我设计测试任务,可用性测试|任务脚本|招募筛选|问题聚类|洞察提炼
ext-frontend-design,extension,ui,ui,帮我设计一个着陆页|创建一个仪表盘界面,前端设计|界面开发|网页设计|组件开发|HTML/CSS
ext-impeccable,extension,ui,ui,帮我优化这个页面的设计|审计一下这个界面的UX问题,UI设计|界面优化|视觉层次|交互设计|动效
ext-interaction-design,extension,ui,ui,帮我设计页面过渡动画|添加一些微交互效果,微交互|动效设计|过渡动画|加载状态|用户反馈
ext-ui-ux-pro-max,extension,ui,ui,推荐一个适合SaaS的配色方案|找一些适合仪表盘的UX设计指南,设计系统|配色方案|字体搭配|UX指南|图表类型
