source,target,rel,contract
release-orchestrator,release-auto-checklist,orch,发布检查
release-orchestrator,release-gradual,orch,灰度发布
release-orchestrator,release-notes,orch,发布说明
retention-orchestrator,retention-management,orch,流失预警与用户分层
revenue-orchestrator,revenue-funnel,orch,付费漏斗
revenue-orchestrator,revenue-nrr,orch,NRR追踪
revenue-orchestrator,revenue-upsell,orch,升级转化
risk-orchestrator,risk-identification,orch,风险识别
risk-orchestrator,risk-management,orch,风险监控与升级
stakeholder-orchestrator,stakeholder-analysis,orch,利益相关者分析
ui-orchestrator,ext-frontend-design,orch,快速生成
ui-orchestrator,ext-ui-ux-pro-max,orch,快速生成
ui-orchestrator,ext-impeccable,orch,快速生成
ui-orchestrator,ext-interaction-design,orch,快速生成
ui-orchestrator,project-init,orch,原型输出
ui-orchestrator,ext-ui-ux-pro-max,orch,设计增强+简报生成
ui-orchestrator,ext-impeccable,orch,设计增强+简报生成
ui-orchestrator,ext-frontend-design,orch,设计增强+简报生成
ui-orchestrator,page-builder,orch,页面与组件构建
ui-orchestrator,ext-ui-ux-pro-max,orch,页面增强+质量审计
ui-orchestrator,ext-impeccable,orch,页面增强+质量审计
ui-orchestrator,ext-interaction-design,orch,页面增强+质量审计
ui-orchestrator,api-integration,orch,API集成
ui-orchestrator,production-ready,orch,生产就绪+优化
ui-orchestrator,ext-impeccable,orch,生产就绪+优化
user-research-orchestrator,user-research-report,orch,并行采集
validation-orchestrator,validation-assumption-map,orch,假设地图
validation-orchestrator,validation-mvp,orch,MVP范围界定
validation-orchestrator,validation-experiment,orch,实验设计
validation-orchestrator,validation-usability,orch,可用性测试
design-prd,api-design-spec,feed,PRD
design-prd,change-impact-analysis,feed,PRD
api-design-spec,data-architecture-spec,feed,API契约
data-architecture-spec,backend-architecture-impl,feed,数据架构
design-prototype,design-handoff-spec,feed,原型稿
metrics-system,tracking-plan,feed,指标体系
metrics-system,analysis-anomaly,feed,指标体系
analysis-anomaly,analysis-funnel,comp,
analysis-funnel,analysis-retention,comp,
growth-model,acquisition-analysis,feed,增长模型
growth-model,retention-management,feed,增长模型
business-model-canvas,business-pricing,feed,商业模式
positioning-strategy,design-prototype,feed,定位
experiment-design,experiment-execution,feed,实验方案
validation-mvp,validation-experiment,feed,MVP结果
risk-identification,risk-management,feed,风险册
quality-acceptance,release-gradual,feed,验收报告
release-gradual,release-notes,feed,发布记录
planning-okr,planning-roadmap,feed,OKR
diagnosis-health,iteration-decision,feed,健康报告
user-research-report,insight-analysis,feed,研究报告
opportunity-definition,business-value-fit,feed,机会定义
