source,target,rel,contract
growth-model,retention-management,feed,Growth Model
business-model-canvas,business-pricing,feed,Business Model
positioning-strategy,design-prototype,feed,Positioning
experiment-design,experiment-execution,feed,Experiment Plan
validation-mvp,validation-experiment,feed,MVP Results
risk-identification,risk-management,feed,Risk Register
quality-acceptance,release-gradual,feed,Acceptance Report
release-gradual,release-notes,feed,Release Record
planning-okr,planning-roadmap,feed,OKR
diagnosis-health,iteration-retrospective,feed,Health Report
user-research-report,insight-analysis,feed,Research Report
opportunity-definition,business-value-fit,feed,Opportunity Definition
